"ts_num","count","ts_date"
1559817300,25,2019-06-06 12:35:00
1559817600,30,2019-06-06 12:40:00
1559817900,37,2019-06-06 12:45:00
1559818200,29,2019-06-06 12:50:00
1559818500,25,2019-06-06 12:55:00
1559818800,81,2019-06-06 13:00:00
1559819100,79,2019-06-06 13:05:00
1559819400,78,2019-06-06 13:10:00
1559819700,77,2019-06-06 13:15:00
1559820000,73,2019-06-06 13:20:00
1559820300,88,2019-06-06 13:25:00
1559820600,73,2019-06-06 13:30:00
1559820900,64,2019-06-06 13:35:00
1559821200,79,2019-06-06 13:40:00
1559821500,68,2019-06-06 13:45:00
1559821800,66,2019-06-06 13:50:00
1559822100,87,2019-06-06 13:55:00
1559822400,105,2019-06-06 14:00:00
1559822700,98,2019-06-06 14:05:00
1559823000,101,2019-06-06 14:10:00
1559823300,112,2019-06-06 14:15:00
1559823600,113,2019-06-06 14:20:00
1559823900,111,2019-06-06 14:25:00
1559824200,116,2019-06-06 14:30:00
